 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
     1.000,   1,  0.40030000E+03,   0.00000000E+00,  -0.63147000E+03,   0.00000000E+00,  -0.72921955E+00,   0.00000000E+00,   0.15800000E+02,   0.00000000E+00,  -0.51792278E-08,
    15.000,   1,  0.54967407E+08,   0.00000000E+00,  -0.54149241E+08,   0.00000000E+00,  -0.57768569E+05,   0.10815170E+08,   0.26139585E+07,   0.00000000E+00,  -0.20611203E-10,
    29.000,   1,  0.11108150E+09,   0.00000000E+00,  -0.12961426E+09,   0.00000000E+00,  -0.65345330E+05,   0.14287651E+08,   0.51664951E+07,   0.00000000E+00,  -0.35085100E-09,
    43.000,   1,  0.17572653E+09,   0.00000000E+00,  -0.19180074E+09,   0.00000000E+00,  -0.77117506E+05,   0.32531489E+08,   0.85531127E+07,   0.00000000E+00,   0.45541502E-10,
    57.000,   1,  0.22727182E+09,   0.00000000E+00,  -0.23548720E+09,   0.00000000E+00,  -0.93986190E+05,   0.40114412E+08,   0.10780699E+08,   0.00000000E+00,   0.46049436E-10,
    71.000,   1,  0.29133760E+09,   0.00000000E+00,  -0.27959582E+09,   0.00000000E+00,  -0.12170742E+06,   0.51997475E+08,   0.14157986E+08,   0.00000000E+00,   0.24025825E-10,
    85.000,   1,  0.38101377E+09,   0.00000000E+00,  -0.32142128E+09,   0.00000000E+00,  -0.17171298E+06,   0.64041453E+08,   0.19806136E+08,   0.00000000E+00,  -0.47573910E-09,
    99.000,   1,  0.50232219E+09,   0.00000000E+00,  -0.35367424E+09,   0.00000000E+00,  -0.18967097E+06,   0.75834736E+08,   0.27561874E+08,   0.00000000E+00,  -0.26385562E-09,
   113.000,   1,  0.59610992E+09,   0.00000000E+00,  -0.38646824E+09,   0.00000000E+00,  -0.27545261E+06,   0.82274956E+08,   0.32471770E+08,   0.00000000E+00,  -0.21672763E-09,
   127.000,   1,  0.67320938E+09,   0.00000000E+00,  -0.45036422E+09,   0.00000000E+00,  -0.54640730E+06,   0.86973734E+08,   0.35404503E+08,   0.00000000E+00,  -0.20478308E-09,
   141.000,   1,  0.73891142E+09,   0.00000000E+00,  -0.52546435E+09,   0.00000000E+00,  -0.81070488E+06,   0.90520550E+08,   0.37107602E+08,   0.00000000E+00,  -0.20120244E-09,
   155.000,   1,  0.80259499E+09,   0.00000000E+00,  -0.59576625E+09,   0.00000000E+00,  -0.10933671E+07,   0.97800107E+08,   0.39236851E+08,   0.00000000E+00,  -0.21842376E-09,
   169.000,   1,  0.84620751E+09,   0.00000000E+00,  -0.64244563E+09,   0.00000000E+00,  -0.16737783E+07,   0.98574139E+08,   0.40265925E+08,   0.00000000E+00,  -0.22289180E-09,
   183.000,   1,  0.88514661E+09,   0.00000000E+00,  -0.68202709E+09,   0.00000000E+00,  -0.20134878E+07,   0.98937623E+08,   0.41032111E+08,   0.00000000E+00,  -0.21381297E-09,
   197.000,   1,  0.91504648E+09,   0.00000000E+00,  -0.72077647E+09,   0.00000000E+00,  -0.29454368E+07,   0.97011670E+08,   0.41482233E+08,   0.00000000E+00,  -0.23482720E-09,
   211.000,   1,  0.93962788E+09,   0.00000000E+00,  -0.75499188E+09,   0.00000000E+00,  -0.39546225E+07,   0.95420877E+08,   0.41767586E+08,   0.00000000E+00,  -0.24579198E-09,
   225.000,   1,  0.96269742E+09,   0.00000000E+00,  -0.79001147E+09,   0.00000000E+00,  -0.46423367E+07,   0.93901225E+08,   0.41985456E+08,   0.00000000E+00,  -0.23702235E-09,
   239.000,   1,  0.98426120E+09,   0.00000000E+00,  -0.82518853E+09,   0.00000000E+00,  -0.52682828E+07,   0.92767961E+08,   0.42163171E+08,   0.00000000E+00,  -0.27647658E-09,
   253.000,   1,  0.10049327E+10,   0.00000000E+00,  -0.86777674E+09,   0.00000000E+00,  -0.57172803E+07,   0.91709914E+08,   0.42338886E+08,   0.00000000E+00,  -0.29582659E-09,
   267.000,   1,  0.10247573E+10,   0.00000000E+00,  -0.92934772E+09,   0.00000000E+00,  -0.61218279E+07,   0.92617987E+08,   0.42506569E+08,   0.00000000E+00,  -0.39500387E-08,
   281.000,   1,  0.11075729E+10,   0.00000000E+00,  -0.10199381E+10,   0.00000000E+00,  -0.63881279E+07,   0.10783350E+09,   0.47214913E+08,   0.00000000E+00,  -0.36127521E-08,
   295.000,   1,  0.11476907E+10,   0.00000000E+00,  -0.11338277E+10,   0.00000000E+00,  -0.65801395E+07,   0.11218886E+09,   0.48556976E+08,   0.00000000E+00,  -0.57662690E-08,
   309.000,   1,  0.11773708E+10,   0.00000000E+00,  -0.12582364E+10,   0.00000000E+00,  -0.67242315E+07,   0.11110566E+09,   0.49301303E+08,   0.00000000E+00,  -0.10252899E-07,
   323.000,   1,  0.12268947E+10,   0.00000000E+00,  -0.13876125E+10,   0.00000000E+00,  -0.67884409E+07,   0.11668641E+09,   0.51210118E+08,   0.00000000E+00,  -0.19765256E-05,
   337.000,   1,  0.12987314E+10,   0.00000000E+00,  -0.14448635E+10,   0.00000000E+00,  -0.68837462E+07,   0.12866584E+09,   0.54972105E+08,   0.00000000E+00,  -0.24967528E-07,
   351.000,   1,  0.13558835E+10,   0.00000000E+00,  -0.15434941E+10,   0.00000000E+00,  -0.70094688E+07,   0.13702476E+09,   0.57647773E+08,   0.00000000E+00,  -0.12641168E-04,
